ident,latitude,longitude,name,city,state,num_runway_hard,num_runway_soft
MMOI,23.3889656066895,-98.7812881469727,Guadalupe De Llera Airport,Llera De Canales,,1,0
MMQO,23.7631378173828,-98.7459182739258,Mesa Loma Prieta Airport,Nuevo Padilla,,1,0
MMUL,23.6392021179199,-98.4640960693359,Los Barrancos Airport,Soto La Marina,,0,1
MM22,23.8021678924561,-97.7736511230469,La Pesca,La Pesca,,1,0
MM54,23.7381896972656,-98.0612640380859,Rancho Marina Vieja,Rancho Marina Vieja,,1,0
MM94,23.8939151763916,-98.2278594970703,Hacienda San Juan Airport,Soto La Marina,,1,0
MMNM,23.2400913238525,-97.8891143798828,Carboneras Airport,Nuevo Progreso,,0,1
MMNO,23.4242782592773,-97.9211807250977,El Zamora Airport,Nuevo Progreso,,1,0
MMNW,23.3740673065186,-97.9284744262695,El Romance Airport,Nuevo Progreso,,0,1
MMSV,23.8237342834473,-98.1780242919922,Nido De Aguilas Airport,Soto La Marina,,0,1
MMTQ,23.6818027496338,-98.0491409301758,La Victoria Airport,Soto La Marina,,0,1
MMUJ,23.6125640869141,-97.8775863647461,San Jorge Airport,Soto La Marina,,1,0
MMXA,23.786922454834,-97.8781433105469,El Contadero Airport,Soto La Marina,,0,1
MMXE,23.7414226531982,-98.2236404418945,La Jaiba Airport,Soto La Marina,,0,1
MMXF,23.6634387969971,-97.950553894043,El Centenario Airport,Soto La Marina,,0,1
MMXU,23.6911525726318,-98.370979309082,El Retoño Airport,Soto La Marina,,0,1
MMZQ,23.441535949707,-97.8759841918945,Los Manueles Airport,Nuevo Progreso,,1,0
MMZS,23.7143402099609,-97.8265533447266,La Laguna Airport,Soto La Marina,,1,0
MM01,22.7438907623291,-99.0175552368164,Cuauhtemoc,Cuauhtemoc,,1,0
MM56,22.9539947509766,-98.9598388671875,Xicotencatl,Xicotencatl,,1,0
MM59,22.6942253112793,-99.0243072509766,Rancho San Antonio Airport,Ciudad Mante,,1,0
MMGS,22.8157730102539,-98.5573654174805,Betty Airport,Gustavo A. Madero,,0,1
MMHH,22.7959098815918,-99.1410064697266,El Palmar Ranch Airstrip,Ciudad Mante,,0,1
MMPD,22.5140857696533,-98.6324234008789,Los Aztecas Airport,Plan De Ayala,,0,1
MMUO,22.789134979248,-98.4899444580078,Husky Airport,Ursulo Galvan,,1,0
MMUS,22.6620197296143,-98.4512786865234,Aero Fumigaciones David Airport,Ursulo Galvan,,1,0
MMUV,22.7004489898682,-98.5008773803711,Rancho El Bernal Airport,Ursulo Galvan,,0,1
MMVX,22.8069763183594,-98.4873504638672,El Paraiso Airport,Ursulo Galvan,,0,1
MM15,22.7733459472656,-98.0502624511719,Cuestecitas Airport,Aldama,,0,1
MMAD,23.0424900054932,-98.1523895263672,Las Potrancas Airport,Aldama,,1,0
MMAY,23.0417098999023,-98.1077499389648,La Coma Airport,Aldama,,0,1
MMFN,22.547794342041,-98.060661315918,Vista Alegre Airport,Cuauhtemoc,,2,0
MMNV,22.6858997344971,-97.9284896850586,Malvinas Airstrip,Nuevo Cereso Regional De Altamira,,0,1
MMUM,22.8665428161621,-98.3867340087891,La Palma Airport,Ursulo Galvan,,0,1
MMUR,22.9530925750732,-98.4122924804688,Manantiales Airport,Ursulo Galvan,,0,1
MMUU,22.7362003326416,-98.3340454101563,Benny Airport,Ursulo Galvan,,1,0
MMYG,23.1736354827881,-98.1134567260742,El Nopal Airport,Nuevo Progreso,,0,1
MMYH,22.6925678253174,-98.2276229858399,La Nueva Gloria Airport,Ursulo Galvan,,0,1
MXBA,22.7443885803223,-98.0358963012695,Zapotal Airport,Aldama,,0,1
MXOB,23.0476665496826,-97.822380065918,El Paraiso Airport,Nuevo Progreso,,1,0
4MN9,46.7784652709961,-94.8527374267578,Ayer Port,Glencoe,Minnesota,0,2
3A9,44.3940277099609,-97.1229858398437,Arlington Muni,Arlington,South Dakota,0,2
5H3,44.7717323303223,-96.6885452270508,Clear Lake Muni,Clear Lake,South Dakota,0,2
KATY,44.913990020752,-97.1547164916992,Watertown Rgnl,Watertown,South Dakota,2,0
KBKX,44.3046760559082,-96.8194122314453,Brookings Mun,Brookings,South Dakota,2,0
SD19,44.4662628173828,-97.2227783203125,Andersen Farms,Badger,South Dakota,0,1
Y34,44.3573303222656,-97.3848190307617,Lake Preston Mun,Lake Preston,South Dakota,0,1
09MN,44.7734489440918,-95.6671524047852,W Johnson Field,Hazel Run,Minnesota,0,1
KCNB,44.7295074462891,-96.2660598754883,Myers,Canby,Minnesota,1,0
4MN4,44.456111907959,-96.2315139770508,Mulder Field Inc,Ivanhoe,Minnesota,0,1
KDXX,44.986442565918,-96.1777954101563,Lac Qui Parle County,Madison,Minnesota,1,1
KMML,44.4515190124512,-95.8231887817383,Southwest Minnesota Regl Marsh,Marshall,Minnesota,2,0
KMVE,44.9695053100586,-95.7106399536133,Montevideo-Chippewa Co,Montevideo,Minnesota,1,1
MY04,44.6617050170898,-96.0380172729492,Koch's Personal Field,Taunton,Minnesota,0,1
SD94,44.9930419921875,-96.4813613891602,Lundin,Revillo,South Dakota,0,1
20SD,44.448902130127,-96.5057067871094,Lutgen Airport,Ivanhoe,,0,1
KDAS,44.9264259338379,-96.0169830322266,Dawson Airport,Dawson,,0,1
4P3,44.0043601989746,-96.5947418212891,Flandreau Muni,Flandreau,South Dakota,1,0
9SD9,43.8058013916016,-96.7083358764648,Weelborg,Dell Rapids,South Dakota,1,0
KMDS,44.0162467956543,-97.0850372314453,Madison Mun,Madison,South Dakota,1,1
SD03,44.0500526428223,-97.3353576660156,Calico Field,Winfred,South Dakota,0,2
SD46,43.8301963806152,-96.8398056030273,Jensen,Dell Rapids,South Dakota,0,1
07MN,44.0530776977539,-95.9090423583984,Dairyview,Hadley,Minnesota,0,1
KDVP,43.9868202209473,-95.782600402832,Slayton Mun,Slayton,Minnesota,1,0
63Y,44.2882957458496,-96.1509780883789,Tyler Mun,Tyler,Minnesota,0,1
KLYV,43.6168022155762,-96.2177886962891,Aanenson,Luverne,Minnesota,1,0
KPQN,43.9810447692871,-96.3001480102539,Pipestone Mun,Pipestone,Minnesota,1,0
MY12,43.8809356689453,-96.2540893554688,Dykstra Acreage,Trosky,Minnesota,0,1
0MN5,44.3064346313477,-94.9172592163086,Pankratz,Springfield,Minnesota,0,1
1D6,44.7311744689941,-94.7138061523438,Hector Mun,Hector,Minnesota,1,1
56MN,44.6454238891602,-94.9627151489258,Lothert's Farm Strip,Morton,Minnesota,0,1
60MN,44.467830657959,-95.2827072143555,Fuhr Flying Svc,Seaforth,Minnesota,0,1
66MN,44.9753875732422,-95.4268112182617,Howard's,Clara City,Minnesota,0,1
90MN,44.5032615661621,-95.4542007446289,Schmidt Private,Vesta,Minnesota,0,1
KGDB,44.7524871826172,-95.5555572509766,Granite Falls Mun/Lenzen-Roe M,Granite Falls,Minnesota,1,0
KOVL,44.7785682678223,-95.0327758789063,Olivia Regl,Olivia,Minnesota,1,0
KRWF,44.5466918945313,-95.0822525024414,Redwood Falls Muni,Redwood Falls,Minnesota,1,1
MN28,44.9829978942871,-94.7484283447266,Lux Strip,Cosmos,Minnesota,0,1
KSLP,44.3450469970703,-94.8651657104492,Sleepy Eye Airport,Sleepy Eye,,0,1
10D,44.9538269042969,-94.0652923583984,Winsted Muni,Winsted,Minnesota,0,1
12Y,44.4408988952637,-93.915885925293,Le Sueur Muni,Le Sueur,Minnesota,1,0
37MN,44.5815315246582,-93.8020401000977,Nagel And Schultz,Belle Plaine,Minnesota,0,1
3MN9,44.9848709106445,-93.9365386962891,Nikolaus,Oster,Minnesota,0,1
47MN,44.7053375244141,-93.854736328125,Sons Private-Commercial,Norwood,Minnesota,0,1
7Y7,44.6597290039063,-93.7787857055664,A R S Sport Strip,Belle Plaine,Minnesota,0,1
88MN,44.8018188476563,-93.9517211914063,Fox Field,Young America,Minnesota,0,1
KGYL,44.7560348510742,-94.0814971923828,Glencoe Mun,Glencoe,Minnesota,1,0
KHCD,44.8598709106445,-94.3825454711914,Hutchinson Mun-Butler,Hutchinson,Minnesota,1,0
KULM,44.3197250366211,-94.5025024414062,New Ulm Mun,New Ulm,Minnesota,1,1
MN15,44.7949256896973,-93.8549423217773,Empire Farm Strip,Bongards,Minnesota,0,1
MN20,44.9104385375977,-94.5710067749024,Runke's Field,Cedar Mills,Minnesota,0,1
KHUH,44.7651023864746,-94.3080444335937,Hutchinson Airport,Hutchinson,,0,1
40MN,43.8659477233887,-95.0134658813477,Turner Field,Bingham Lake,Minnesota,0,1
81MN,44.0321502685547,-95.1968078613281,Ewen Landing Field,Jeffers,Minnesota,0,1
D42,44.2311096191406,-94.9988632202149,Springfield Mun,Springfield,Minnesota,1,0
KMJQ,43.6500511169434,-94.9864273071289,Jackson Mun,Jackson,Minnesota,1,1
KMWM,43.9134216308594,-95.1094436645508,Windom Mun,Windom,Minnesota,1,0
KOTG,43.6551475524902,-95.5797424316406,Worthington Mun,Worthington,Minnesota,2,0
KTKC,44.2493743896484,-95.6076889038086,Tracy Mun,Tracy,Minnesota,1,2
Y58,44.2496376037598,-94.7104568481445,Sleepy Eye Mun,Sleepy Eye,Minnesota,0,2
KFUU,43.9508781433105,-95.3854751586914,Rolling Hills Airport,Fulda,,0,1
0MN1,44.2648277282715,-94.0698089599609,Brinkman,St Peter,Minnesota,0,1
24MN,44.0038108825684,-94.1743774414062,Bergemann,Garden City,Minnesota,0,1
4MN7,43.8455467224121,-94.2864608764648,Burk,Amboy,Minnesota,0,1
5MN1,44.1992645263672,-94.1220474243164,Budde,Mankato,Minnesota,0,1
68Y,43.7413063049316,-93.7772216796875,Wells Mun,Wells,Minnesota,0,1
93MN,44.0323295593262,-93.9485931396484,Hoppe Sky Ranch,Mankato,Minnesota,0,1
KFRM,43.643928527832,-94.414924621582,Fairmont Mun,Fairmont,Minnesota,2,0
KJYG,43.9863624572754,-94.5579452514648,St James Mun,St James,Minnesota,1,0
KMKT,44.2220573425293,-93.9193420410156,Mankato Regl,Mankato,Minnesota,2,0
KSBU,43.5956687927246,-94.0930252075195,Blue Earth Mun,Blue Earth,Minnesota,1,1
MN08,44.1270942687988,-93.872314453125,Eagles Nest Aerodrome,Eagle Lake,Minnesota,0,1
MN74,43.8305854797363,-93.8402099609375,B & D Flyers Int'l,Minnesota Lake,Minnesota,0,1
MY00,43.8957099914551,-94.4922027587891,Sieg's Farm,Truman,Minnesota,0,1
MY46,44.2791175842285,-94.2131500244141,Hay Shakers,Nicollet,Minnesota,0,1
2MY2,43.9077186584473,-94.2746810913086,Zarn,Winnebago,,0,1
0SD1,42.9720115661621,-96.9802322387695,Lodi,Wakonda,South Dakota,0,1
1SD3,43.2349433898926,-97.1502532958984,Turkey Ridge,Hurley,South Dakota,0,1
2SD7,43.3337097167969,-97.0627670288086,Dangel,Hurley,South Dakota,0,1
2SD8,43.0469551086426,-96.9395980834961,Bixler Ridge,Centerville,South Dakota,0,1
3SD4,43.4647598266602,-96.8625793457031,Chris Hofer Landing Strip,Tea,South Dakota,0,1
7G9,43.3089981079102,-96.5712280273437,Canton Mun,Canton,South Dakota,1,0
9SD8,43.5824813842774,-96.9450912475586,Oakleaf,Hartford,South Dakota,0,1
KFSD,43.5809745788574,-96.7418212890625,Joe Foss Field,Sioux Falls,South Dakota,3,0
KYKN,42.9161796569824,-97.3854751586914,Chan Gurney Muni,Yankton,South Dakota,2,0
SD53,42.9048194885254,-96.8110733032227,Howard Field,Beresford,South Dakota,0,1
Y14,43.4549026489258,-96.8013229370117,Skie-Lincoln Co,Tea,South Dakota,1,0
1Y9,42.987922668457,-95.6643981933594,Paullina Muni,Paullina,Iowa,1,0
2Y2,43.0370140075684,-96.4929351806641,Hawarden Mun,Hawarden,Iowa,1,0
2VA,43.4506874084473,-96.4050216674805,Zangger Vintage Airpark,Larchwood,Iowa,1,1
KISB,43.369384765625,-95.7596435546875,Sibley Mun,Sibley,Iowa,1,0
KORC,42.9888877868652,-96.0625381469727,Orange City Mun,Orange City,Iowa,1,0
KRRQ,43.4521179199219,-96.1797714233398,Rock Rapids Mun,Rock Rapids,Iowa,1,0
KSHL,43.2084007263184,-95.8334350585938,Sheldon Mun,Sheldon,Iowa,1,0
KSOY,43.134407043457,-96.1875305175781,Sioux Center Mun,Sioux Center,Iowa,1,0
KSXK,42.981990814209,-96.1608810424805,Sioux County Regional Airport,Sioux Center,,0,1
08NE,42.4303970336914,-97.0785369873047,Laurel Municipal,Laurel,Nebraska,0,1
0B4,42.6029014587402,-97.2538528442383,Hartington Muni/ Bud Becker Fl,Hartington,Nebraska,1,1
28NE,42.4425048828125,-97.2971725463867,Thies,Randolph,Nebraska,0,1
KLCG,42.2413368225098,-96.9829177856445,Wayne Mun,Wayne,Nebraska,2,1
KVMR,42.7652854919434,-96.934326171875,Davidson,Vermillion,South Dakota,1,0
NE50,42.6149368286133,-97.4092025756836,Sudbeck Field,Hartington,Nebraska,0,1
SD00,42.6792984008789,-96.6991577148437,Mj Aviation Ii,Elk Point,South Dakota,0,1
12IA,42.8007736206055,-96.137565612793,Plueger Airfield,Lemars,Iowa,0,1
3IA5,42.8788452148438,-95.879035949707,Kerr,Marcus,Iowa,0,1
7K7,42.5394897460938,-96.4844665527344,Graham,North Sioux City,South Dakota,1,1
7K8,42.4551849365234,-96.4721984863281,Martin,South Sioux City,Nebraska,1,0
IA84,42.4791069030762,-96.2071990966797,Lawton,Lawton,Iowa,0,1
KLRJ,42.7779235839844,-96.193717956543,Le Mars Mun,Le Mars,Iowa,1,0
KSUX,42.4030227661133,-96.3839950561524,Sioux Gateway/Col Bud Day Fiel,Sioux City,Iowa,2,0
42IA,42.2613792419434,-96.2894668579102,Lakeport Farms,,,0,1
0F3,43.3874778747559,-95.1395111083984,Spirit Lake Mun,Spirit Lake,Iowa,1,0
2Y0,43.0797805786133,-95.6144409179688,Primghar,Primghar,Iowa,1,0
4D8,43.3331718444824,-95.1592788696289,Fuller,Milford,Iowa,1,1
KEGQ,43.1018447875977,-94.7040710449219,Emmetsburg Mun,Emmetsburg,Iowa,1,2
KEST,43.4082908630371,-94.7466278076172,Estherville Mun,Estherville,Iowa,1,0
KSPW,43.1656341552734,-95.2027969360352,Spencer Mun,Spencer,Iowa,2,0
KESH,43.3159980773926,-94.7867431640625,Estherville Airport,Estherville,,0,1
1IA9,43.0676956176758,-93.9036712646484,Newbrough,Britt,Iowa,0,1
2IA9,43.1901588439941,-93.7698059082031,South 80 Field,Crystal Lake,Iowa,0,1
IA83,42.9550666809082,-94.1675033569336,Kohlhaas,Livermore,Iowa,0,1
KAXA,43.0779457092285,-94.2717742919922,Algona Mun,Algona,Iowa,1,1
MY80,43.5221328735352,-94.5824813842773,Rosenberg,Ceylon,Minnesota,0,1
8Y8,43.2613143920898,-94.5477294921875,Peltz Field,,,0,1
07IA,42.8286552429199,-94.8653335571289,Laurens Skyways,Laurens,Iowa,0,1
3Y0,42.2628211975098,-95.0910415649414,Wall Lake Mun,Wall Lake,Iowa,0,1
KCKP,42.731388092041,-95.5561828613281,Cherokee Mun,Cherokee,Iowa,1,1
KIDG,42.3326148986816,-95.4448776245117,Ida Grove Mun,Ida Grove,Iowa,1,0
KSKI,42.3794403076172,-94.9796600341797,Sac City Mun,Sac City,Iowa,2,0
KSLB,42.5981941223145,-95.2404632568359,Storm Lake Mun,Storm Lake,Iowa,2,1
0K7,42.7348480224609,-94.2454528808594,Humboldt Muni,Humboldt,Iowa,1,0
2Y4,42.3877983093262,-94.6188125610352,Rockwell City Mun,Rockwell City,Iowa,1,0
IA08,42.2779579162598,-94.5521087646484,Riedesel Private,Lohrville,Iowa,0,1
KCAV,42.7404861450195,-93.7590789794922,Clarion Mun,Clarion,Iowa,1,0
KEAG,42.7098731994629,-93.9160308837891,Eagle Grove Mun,Eagle Grove,Iowa,1,1
KEBS,42.4365272521973,-93.869026184082,Webster City Mun,Webster City,Iowa,1,1
KFOD,42.5511589050293,-94.1914978027344,Fort Dodge Rgnl,Ft Dodge,Iowa,2,0
KPOH,42.7429580688477,-94.6470108032227,Pocahontas Mun,Pocahontas,Iowa,1,1
6MN7,44.40087890625,-92.6874771118164,Mankato Farmstrip,Mankato,Minnesota,0,1
NE51,42.3051795959473,-98.1249008178711,Kohles,Martell,Nebraska,0,1
NE45,41.2931175231934,-99.3747024536133,Stewart Field,Bennet,Nebraska,0,1
NE15,40.6170272827148,-100.725738525391,Starns Auxiliary,Ashland,Nebraska,0,1
0C4,42.113468170166,-96.7278289794922,Pender Mun,Pender,Nebraska,1,0
KOFK,41.9854583740234,-97.4350814819336,Norfolk Rgnl/Karl Stefan Memor,Norfolk,Nebraska,2,0
KSCB,41.6097984313965,-96.6305389404297,Scribner State,Scribner,Nebraska,2,0
NE09,41.9635810852051,-97.4663619995117,Simpson,Norfolk,Nebraska,0,1
NE54,41.7072219848633,-96.9812622070313,Dostal-Bradley,Howells,Nebraska,0,1
NE67,42.1077346801758,-97.3413467407227,Falk Air Field,Norfolk,,0,1
NE78,42.0747985839844,-97.3188400268555,Kohles,Norfolk,,0,1
3IA4,41.5317611694336,-95.9411697387695,Robinson,Missouri Valley,Iowa,0,1
3Y4,41.7358779907227,-95.6838073730469,Woodbine Mun,Woodbine,Iowa,0,1
86NE,41.5416297912598,-96.2739410400391,Orum Aerodrome,Blair,Nebraska,0,1
90IA,41.5394248962402,-95.8880081176758,Missouri Valley,Missouri Valley,Iowa,1,0
IA58,42.1191368103027,-96.1746978759766,B-8 Farms,Whiting,Iowa,1,0
K36,42.0047454833984,-96.1040115356445,Onawa Mun,Onawa,Iowa,1,0
KMEY,42.1783142089844,-95.7936172485352,Whiting Meml,Mapleton,Iowa,1,0
KTQE,41.7635307312012,-96.1779174804687,Tekamah,Tekamah,Nebraska,1,0
02NE,41.0736770629883,-96.9020233154297,Benes Service,Valparaiso,Nebraska,0,1
0J9,40.8677940368652,-97.3539962768555,Flying V,Utica,Nebraska,1,0
68NE,40.9929618835449,-96.6198501586914,Hall-Feld,Davey,Nebraska,0,1
78NE,41.1660614013672,-97.031379699707,Stava,Brainard,Nebraska,0,1
93Y,41.2305335998535,-97.1229782104492,David City Mun,David City,Nebraska,1,1
KAHQ,41.2404289245606,-96.5947113037109,Wahoo Mun,Wahoo,Nebraska,1,1
KLNK,40.8520889282227,-96.7577819824219,Lincoln,Lincoln,Nebraska,3,0
KOLU,41.4485664367676,-97.3400421142578,Columbus Muni,Columbus,Nebraska,1,1
KSWT,40.864860534668,-97.1092529296875,Seward Mun,Seward,Nebraska,1,1
NE18,40.913703918457,-97.0800933837891,Krutz,Seward,Nebraska,0,1
NE27,41.3681030273438,-96.9497375488281,Abie Sky Ranch,Abie,Nebraska,0,1
NE59,40.8258819580078,-96.5721588134766,Pester,Lincoln,Nebraska,0,1
09NE,41.3322448730469,-96.1921005249024,Summer Hill Farm,Bennington,Nebraska,0,1
1NE5,41.4057540893555,-96.2862396240234,Sibbernsen,Washington,Nebraska,0,1
3NO,41.3692970275879,-96.0224990844727,North Omaha,Omaha,Nebraska,1,0
53NE,41.0805168151856,-96.4034957885742,Starns Brothers,Ashland,Nebraska,0,1
75NE,41.4437065124512,-95.9599990844727,Heaton,Fort Calhoun,Nebraska,0,1
8NE2,41.0404396057129,-96.0346374511719,P & R,Cedar Creek,Nebraska,0,1
8NE4,40.8671531677246,-96.2841262817383,Bornemeier Airstrip,Elmwood,Nebraska,0,1
9NE6,41.3377838134766,-96.0885772705078,Bates Airpark,Omaha,Nebraska,0,1
K46,41.4148559570313,-96.109001159668,Blair Mun,Blair,Nebraska,1,0
KCBF,41.2598686218262,-95.7588958740234,Council Bluffs Muni,Council Bluffs,Iowa,2,0
KFET,41.4491577148438,-96.5193252563477,Fremont Mun,Fremont,Nebraska,2,0
KMLE,41.1959953308106,-96.1122741699219,Millard,Omaha,Nebraska,1,0
KOFF,41.119327545166,-95.9085159301758,Offutt AFB,Omaha,Nebraska,1,0
KOMA,41.3031616210938,-95.8940048217773,Eppley,Omaha,Nebraska,3,0
KPMV,40.9483680725098,-95.917366027832,Plattsmouth Mun,Plattsmouth,Nebraska,1,0
NE11,41.3606872558594,-96.040283203125,Durands Sky Ranch,Omaha,Nebraska,0,1
NE49,41.0695266723633,-96.2456588745117,Koke,Gretna,Nebraska,0,1
NE56,41.340892791748,-96.3954772949219,Werner,Valley,Nebraska,1,0
NE64,41.1051254272461,-96.4099502563477,Luetkenhaus,Memphis,Nebraska,0,1
NE69,40.8679733276367,-96.1081390380859,Browns,Weeping Water,Nebraska,0,1
NE77,40.9606246948242,-95.913688659668,Cole,Plattsmouth,Nebraska,0,1
NE82,40.9322204589844,-96.0001373291016,Nolte Farms,Murray,Nebraska,0,1
KBTA,41.4148559570313,-96.1090087890625,Blair Mun,,,1,0
16IA,41.8805541992188,-94.774543762207,Stangl,Coon Rapids,Iowa,0,1
KADU,41.701545715332,-94.9204864501953,Audubon Co,Audubon,Iowa,1,0
KCIN,42.0468559265137,-94.7887191772461,Neu,Carroll,Iowa,2,0
KDNS,41.9870452880859,-95.381103515625,Denison Mun,Denison,Iowa,1,2
KHNR,41.5840339660645,-95.3394775390625,Harlan Mun,Harlan,Iowa,1,1
39IA,41.6796951293945,-94.0201416015625,Husband Field,Dallas Center,Iowa,0,1
IA00,41.5200080871582,-94.3624801635742,Jukam's Landing,Menlo,Iowa,0,1
IA47,41.6404418945313,-93.8088836669922,Day Field,Grimes,Iowa,0,1
KBNW,42.0497741699219,-93.847900390625,Boone Mun,Boone,Iowa,1,1
KEFW,42.0107192993164,-94.3418884277344,Jefferson Mun,Jefferson,Iowa,1,1
KGCT,41.6869926452637,-94.43505859375,Guthrie Co Regl,Guthrie Center,Iowa,1,0
KPRO,41.8279075622559,-94.1595153808594,Perry Mun,Perry,Iowa,1,1
20IA,41.5219879150391,-93.8013687133789,Hobbes Field,,,0,1
1IA0,40.8962020874023,-94.7901763916016,Brown Truck Sales,Corning,Iowa,0,1
1IA6,40.8839530944824,-95.4843139648438,Aero-Lane,Randolph,Iowa,0,1
8IA9,41.1555557250977,-95.2442932128906,Shields,Red Oak,Iowa,0,1
97IA,41.2559471130371,-95.4767990112305,Volkens Field,Carson,Iowa,0,1
IA01,41.3503837585449,-95.4687881469727,Ridge,Oakland,Iowa,0,1
KAIO,41.4045448303223,-95.0481719970703,Atlantic Mun,Atlantic,Iowa,2,0
KCRZ,40.994140625,-94.7550506591797,Corning Mun,Corning,Iowa,1,0
KRDK,41.0109443664551,-95.258659362793,Red Oak Mun,Red Oak,Iowa,2,1
Y43,41.4399909973145,-94.7699813842774,Anita Mun-Burke Meml,Anita,Iowa,0,1
3Y3,41.3628082275391,-94.0212173461914,Winterset Muni,Winterset,Iowa,1,0
IA36,41.0772514343262,-94.4290771484375,Mercer Field,Creston,Iowa,0,1
KCSQ,41.0217247009277,-94.3628311157227,Creston Mun,Creston,Iowa,1,1
KGFZ,41.3271942138672,-94.4455184936524,Greenfield Mun,Greenfield,Iowa,2,0
0D6,40.4761123657227,-96.9864044189453,Wilber Mun,Wilber,Nebraska,0,2
KBIE,40.3012008666992,-96.7541885375977,Beatrice Mun,Beatrice,Nebraska,2,0
KCEK,40.6184234619141,-96.9258422851562,Crete Mun,Crete,Nebraska,1,1
KFBY,40.1817092895508,-97.1675186157227,Fairbury Mun,Fairbury,Nebraska,1,1
NE40,40.7163391113281,-96.8691635131836,Denton Airfield,Denton,Nebraska,1,0
NE53,40.5925369262695,-96.5882339477539,Liesveld,Holland,Nebraska,0,1
NE65,40.7660484313965,-97.0771102905274,Roth,Milford,Nebraska,1,0
NE79,40.6518707275391,-96.6208724975586,Mueller Field,Roca,Nebraska,0,1
NE80,40.6743316650391,-96.639030456543,Weaver,Roca /Lincoln/,Nebraska,0,2
NE94,40.5567169189453,-97.2097625732422,Feik Field,,,0,1
0G3,40.4009742736816,-96.1704788208008,Tecumseh Muni,Tecumseh,Nebraska,1,0
16NE,40.559383392334,-96.4920043945313,Korver,Panama,Nebraska,0,1
50K,40.1161422729492,-96.1948623657227,Pawnee City Muni,Pawnee City,Nebraska,0,1
5NE2,40.1958999633789,-95.6325378417969,Eickhoff Strip,Shubert,Nebraska,0,2
K01,40.3870620727539,-95.7884750366211,Farington Field,Auburn,Nebraska,0,2
KAFK,40.6063461303711,-95.8671035766602,Nebraska City Mun,Nebraska City,Nebraska,1,1
NE20,40.185791015625,-96.2115325927734,Bernadt,Steinauer,Nebraska,0,1
NE33,40.7101974487305,-96.4774551391602,Clearidge,Bennet,Nebraska,0,1
NE57,40.0943031311035,-96.4794692993164,Thomas,Liberty,Nebraska,1,0
K38,39.7351684570312,-97.0476150512695,Washington County Veteran's Me,Washington,Kansas,1,0
KCYW,39.387134552002,-97.1572341918945,Clay Center Mun,Clay Center,Kansas,1,0
KMYZ,39.8564453125,-96.6306762695313,Marysville Mun,Marysville,Kansas,1,0
NE92,40.0448722839356,-96.6662979125977,Thomsen,Wymore,Nebraska,0,1
SN33,39.4281921386719,-97.1241226196289,Callaway Airpark,Clay Center,Kansas,0,1
KBLE,39.6622352600098,-96.5984878540039,Blue Rapids Airport,Blue Rapids,,0,1
KWAH,39.8826179504395,-96.9171371459961,Washington Airport,Washington,,0,1
52K,39.4992027282715,-96.1749954223633,Charles E Grutzmacher Municipal Airport,Onaga,Kansas,0,1
62K,39.8472290039062,-96.1170501708984,Seneca Mun,Seneca,Kansas,0,1
K83,39.9054756164551,-95.7766418457031,Sabetha Mun,Sabetha,Kansas,1,0
2KS6,39.7514724731445,-96.0266647338867,Flying H,,,1,0
1MU6,40.1096878051758,-94.9712295532227,Simerly,Fillmore,Missouri,0,1
31MO,40.1052589416504,-94.7426681518555,Hannah,Bolckow,Missouri,1,0
4MO7,40.1398277282715,-95.2400665283203,Crop Care,Mound City,Missouri,0,1
78Y,40.3308258056641,-94.8346557617188,Rankin,Maryville,Missouri,1,0
K57,40.4459342956543,-95.367301940918,Gould Peterson Muni,Tarkio,Missouri,1,0
KEVU,40.3533134460449,-94.916633605957,Northwest Missouri Regl,Maryville,Missouri,1,0
KFNB,40.0787734985352,-95.5919876098633,Brenner,Falls City,Nebraska,1,0
KICL,40.7225036621094,-95.0264587402344,Schenck,Clarinda,Iowa,1,1
KSDA,40.7518463134766,-95.413932800293,Shenandoah Mun,Shenandoah,Iowa,2,0
MO24,40.1569709777832,-95.3882522583008,Lonesome Sky,Craig,Missouri,0,1
MU09,40.467456817627,-95.0232315063477,Hester,Burlington Junction,Missouri,0,1
Y46,40.6376457214356,-94.7293701171875,Bedford Mun,Bedford,Iowa,0,1
29IA,40.7560539245606,-95.6234817504883,Hilltop,Sidney,,0,1
1Y3,40.706226348877,-94.2201843261719,Judge Lewis Fld Mt Ayr Muni,Mt Ayr,Iowa,1,0
3MO7,40.082649230957,-94.6208038330078,Fairbanks,King City,Missouri,0,1
75K,40.27685546875,-94.0074615478516,Bethany Meml,Bethany,Missouri,1,0
IA44,40.6518821716309,-93.9606628417969,Solly's Strip,Lamoni,Iowa,2,0
K19,40.2622375488281,-94.3389739990234,Albany Muni,Albany,Missouri,1,0
KLWD,40.6331176757813,-93.9022521972656,Lamoni Mun,Lamoni,Iowa,1,0
0C1,39.487735748291,-94.7811660766602,Triple R,Dearborn,Missouri,1,0
1MU8,39.5541114807129,-94.9980239868164,Church's Landing,Rushville,Missouri,0,1
2KS1,39.7766647338867,-95.2509689331055,Rush,Severance,Kansas,0,1
40MO,39.4237747192383,-94.8474578857422,Louise's Strip,Weston,Missouri,1,0
44MO,39.7078628540039,-94.8013381958008,Butch's Strip,St Joseph,Missouri,0,1
61MU,39.5880241394043,-94.7840194702149,Farris Strip,Faucett,Missouri,0,1
64MO,39.6648483276367,-95.0139923095703,Booze Island,St Joseph,Missouri,0,1
